,회사명,거래소코드,회계년도,산업분류
456,(주)넥스트엔터테인먼트월드,160550,2021,정보통신업
457,(주)넥스틴,348210,2021,제조업
458,(주)넥슨게임즈,225570,2016,정보통신업
459,(주)넥슨게임즈,225570,2017,정보통신업
460,(주)넥슨게임즈,225570,2018,정보통신업
461,(주)넥슨게임즈,225570,2019,정보통신업
462,(주)넥슨게임즈,225570,2020,정보통신업
463,(주)넥슨게임즈,225570,2021,정보통신업
464,(주)넵튠,217270,2016,정보통신업
465,(주)넵튠,217270,2017,정보통신업
466,(주)넵튠,217270,2018,정보통신업
467,(주)넵튠,217270,2019,정보통신업
468,(주)넵튠,217270,2020,정보통신업
469,(주)넵튠,217270,2021,정보통신업
470,(주)넷웨이브,47730,2011,제조업
471,(주)넷웨이브,47730,2012,제조업
472,(주)노랑풍선,104620,2019,"사업시설 관리, 사업 지원 및 임대 서비스업"
473,(주)노랑풍선,104620,2020,"사업시설 관리, 사업 지원 및 임대 서비스업"
474,(주)노랑풍선,104620,2021,"사업시설 관리, 사업 지원 및 임대 서비스업"
475,(주)노바렉스,194700,2017,제조업
476,(주)노바렉스,194700,2018,제조업
477,(주)노바렉스,194700,2019,제조업
478,(주)노바렉스,194700,2020,제조업
479,(주)노바렉스,194700,2021,제조업
480,(주)노바텍,285490,2020,제조업
481,(주)노바텍,285490,2021,제조업
482,(주)노블엠앤비,106520,2013,제조업
483,(주)노블엠앤비,106520,2014,제조업
484,(주)노블엠앤비,106520,2015,제조업
485,(주)노블엠앤비,106520,2016,제조업
486,(주)노블엠앤비,106520,2017,제조업
487,(주)노블엠앤비,106520,2018,제조업
488,(주)노블엠앤비,106520,2019,제조업
489,(주)노블엠앤비,106520,2020,제조업
490,(주)노블엠앤비,106520,2021,제조업
491,(주)노터스,278650,2021,"전문, 과학 및 기술 서비스업"
492,(주)녹십자셀,31390,2011,제조업
493,(주)녹십자셀,31390,2012,제조업
494,(주)녹십자셀,31390,2013,제조업
495,(주)녹십자셀,31390,2014,제조업
496,(주)녹십자셀,31390,2015,제조업
497,(주)녹십자셀,31390,2016,제조업
498,(주)녹십자셀,31390,2017,제조업
499,(주)녹십자셀,31390,2018,제조업
500,(주)녹십자셀,31390,2019,제조업
501,(주)녹십자셀,31390,2020,제조업
502,(주)녹십자엠에스,142280,2015,제조업
503,(주)녹십자엠에스,142280,2016,제조업
504,(주)녹십자엠에스,142280,2017,제조업
505,(주)녹십자엠에스,142280,2018,제조업
506,(주)녹십자엠에스,142280,2019,제조업
507,(주)녹십자엠에스,142280,2020,제조업
508,(주)녹십자엠에스,142280,2021,제조업
509,(주)녹십자웰빙,234690,2021,제조업
510,(주)녹원씨엔아이,65560,2011,제조업
511,(주)녹원씨엔아이,65560,2012,제조업
512,(주)녹원씨엔아이,65560,2013,제조업
513,(주)녹원씨엔아이,65560,2014,제조업
514,(주)녹원씨엔아이,65560,2015,제조업
515,(주)녹원씨엔아이,65560,2016,제조업
516,(주)녹원씨엔아이,65560,2017,제조업
517,(주)녹원씨엔아이,65560,2018,제조업
518,(주)녹원씨엔아이,65560,2019,제조업
519,(주)녹원씨엔아이,65560,2020,제조업
520,(주)녹원씨엔아이,65560,2021,제조업
521,(주)누리플랜,69140,2012,제조업
522,(주)누리플랜,69140,2013,제조업
523,(주)누리플랜,69140,2014,제조업
524,(주)누리플랜,69140,2015,제조업
525,(주)누리플랜,69140,2016,제조업
526,(주)누리플랜,69140,2017,제조업
527,(주)누리플랜,69140,2018,제조업
528,(주)누리플랜,69140,2019,제조업
529,(주)누리플랜,69140,2020,제조업
530,(주)누리플랜,69140,2021,제조업
531,(주)누리플렉스,40160,2011,정보통신업
532,(주)누리플렉스,40160,2012,정보통신업
533,(주)누리플렉스,40160,2013,정보통신업
534,(주)누리플렉스,40160,2014,정보통신업
535,(주)누리플렉스,40160,2015,정보통신업
536,(주)누리플렉스,40160,2016,정보통신업
537,(주)누리플렉스,40160,2017,정보통신업
538,(주)누리플렉스,40160,2018,정보통신업
539,(주)누리플렉스,40160,2019,정보통신업
540,(주)누리플렉스,40160,2020,정보통신업
541,(주)누리플렉스,40160,2021,정보통신업
542,(주)누보,332290,2020,제조업
543,(주)누보,332290,2021,제조업
544,(주)뉴로스,126870,2013,제조업
545,(주)뉴로스,126870,2014,제조업
546,(주)뉴로스,126870,2015,제조업
547,(주)뉴로스,126870,2016,제조업
548,(주)뉴로스,126870,2017,제조업
549,(주)뉴로스,126870,2018,제조업
550,(주)뉴로스,126870,2019,제조업
551,(주)뉴로스,126870,2020,제조업
552,(주)뉴로스,126870,2021,제조업
553,(주)뉴보텍,60260,2011,제조업
554,(주)뉴보텍,60260,2012,제조업
555,(주)뉴보텍,60260,2013,제조업
556,(주)뉴보텍,60260,2014,제조업
557,(주)뉴보텍,60260,2015,제조업
558,(주)뉴보텍,60260,2016,제조업
559,(주)뉴보텍,60260,2017,제조업
560,(주)뉴보텍,60260,2018,제조업
561,(주)뉴보텍,60260,2019,제조업
562,(주)뉴보텍,60260,2020,제조업
563,(주)뉴보텍,60260,2021,제조업
564,(주)뉴인텍,12340,2011,제조업
565,(주)뉴인텍,12340,2012,제조업
566,(주)뉴인텍,12340,2013,제조업
567,(주)뉴인텍,12340,2014,제조업
568,(주)뉴인텍,12340,2015,제조업
569,(주)뉴인텍,12340,2016,제조업
570,(주)뉴인텍,12340,2017,제조업
571,(주)뉴인텍,12340,2018,제조업
572,(주)뉴인텍,12340,2019,제조업
573,(주)뉴인텍,12340,2020,제조업
574,(주)뉴인텍,12340,2021,제조업
575,(주)뉴트리,270870,2019,제조업
576,(주)뉴트리,270870,2020,제조업
577,(주)뉴트리,270870,2021,제조업
578,(주)뉴파워프라즈마,144960,2018,제조업
579,(주)뉴파워프라즈마,144960,2019,제조업
580,(주)뉴파워프라즈마,144960,2020,제조업
581,(주)뉴파워프라즈마,144960,2021,제조업
582,(주)뉴프렉스,85670,2011,제조업
583,(주)뉴프렉스,85670,2012,제조업
584,(주)뉴프렉스,85670,2013,제조업
585,(주)뉴프렉스,85670,2014,제조업
